parents,husband,wife,husband_id,wife_id,n_sons,sons,n_daughters,daughters,n_unknown_sex,epic,source,comments,row_type,historicity,family_id
Brahma & Sarasvati,Brahma,Sarasvati,ziegenbalg_south_indian::brahma,ziegenbalg_south_indian::sarasvati,0,,0,,0,ziegenbalg_south_indian,Part II Ch.VIII; Table p.5,"Sarasvati is goddess of learning. No children explicitly named as issue of this couple. Text says the four castes originated from Brahma's body (Brahmans from face, Kshatrias from breast, Vaisyas from thighs, Sudras from feet), and he is regarded as having mind-born sons (the Prajapatis), but these are not described as born from Sarasvati.",couple,mythological,F11_brahma_sarasvati
Dasaratha & Kausalya,Dasaratha,Kausalya,ziegenbalg_south_indian::dasaratha,ziegenbalg_south_indian::kausalya,2,"Rama, Lakshmana",0,,0,ziegenbalg_south_indian,Part II Ch.V; pp.77,"Dasaratha was king of Ayodhya. Rama is Vishnu incarnate. Lakshmana is Rama's faithful brother, described as a partial incarnation of Vishnu. Text also mentions Bharata and Satrughna as Rama's brothers but from a different wife (Kaikeya).",couple,mythological,F12_dasaratha_kausalya
Dasaratha & Kaikeya,Dasaratha,Kaikeya,ziegenbalg_south_indian::dasaratha,ziegenbalg_south_indian::kaikeya,1,Bharata,0,,0,ziegenbalg_south_indian,"Part II Ch.V; pp.77,85",Kaikeya is Dasaratha's youngest wife. Her intrigues caused Rama's banishment. Bharata is described as a partial incarnation of Vishnu. Satrughna is listed as another brother of Rama but the text does not clearly assign him to a specific mother.,couple,mythological,F13_dasaratha_kaikeya
Janaka,Janaka,,ziegenbalg_south_indian::janaka,,0,,1,Sita,0,ziegenbalg_south_indian,Part II Ch.VI; pp.88-89,Janaka was a king who was childless. Sita was found in a ploughed field (a foundling) and adopted by Janaka. No wife named. Sita identified as Lakshmi incarnate.,couple,mythological,F14_janaka
Vasudeva & Devaki,Vasudeva,Devaki,ziegenbalg_south_indian::vasudeva,ziegenbalg_south_indian::devaki,1,Krishna,0,,0,ziegenbalg_south_indian,Part II Ch.V; Table p.4; p.78,"Krishna (Vishnu incarnation) was son of Vasudeva and Devaki, but raised by Nanda the shepherd and his wife Yasoda.",couple,mythological,F15_vasudeva_devaki
Nanda & Yasoda,Nanda,Yasoda,ziegenbalg_south_indian::nanda,ziegenbalg_south_indian::yasoda,1,Balarama,0,,0,ziegenbalg_south_indian,"Part II Ch.V; pp.78,80",Nanda was a shepherd who fostered Krishna. Balarama (Balabhadra) is described as son of Nanda and nominally the elder brother of Krishna. He is the ninth incarnation of Vishnu according to later tradition (replacing Buddha). Text also lists Krishna as raised in this household but his biological parents are Vasudeva and Devaki.,couple,mythological,F16_nanda_yasoda
Jamadagni & Renuka,Jamadagni,Renuka,ziegenbalg_south_indian::jamadagni,ziegenbalg_south_indian::renuka,5,"Rumanvat, Sushena, Vasu, Visvavasu, Parasurama",0,,0,ziegenbalg_south_indian,"Part II Ch.V; Part III Ch.II; pp.76,136-137",Jamadagni was a Rishi. Renuka was beheaded by Parasurama at his father's command for impure thoughts. In Southern Indian tradition Renuka is identified with the Gramadevata Ellammen. Parasurama is Vishnu's sixth incarnation. Five sons total named in the Mahabharata version quoted in the text.,couple,mythological,F17_jamadagni_renuka
Siva & Mohini (Vishnu in female form),Siva,Mohini (Vishnu in female form),ziegenbalg_south_indian::siva_isvara,ziegenbalg_south_indian::mohini_vishnu,1,Ayenar,0,,0,ziegenbalg_south_indian,Part III Ch.I; Table p.6,"Mohini is Vishnu in female form. Their union produced Ayenar (also called Hari-Hara-putra, i.e. Vishnu-Siva's son), the only male Gramadevata. This is a cosmogonic union between two male gods, one assuming female form.",couple,mythological,F18_siva_mohini
Ayenar & Puranai,Ayenar,Puranai,ziegenbalg_south_indian::ayenar,ziegenbalg_south_indian::puranai,0,,0,,0,ziegenbalg_south_indian,Part III Ch.I; Table p.6,Puranai is one of Ayenar's two wives. No children mentioned.,couple,mythological,F19_ayenar_puranai
Ayenar & Pudkalai,Ayenar,Pudkalai,ziegenbalg_south_indian::ayenar,ziegenbalg_south_indian::pudkalai,0,,0,,0,ziegenbalg_south_indian,Part III Ch.I; Table p.6,Pudkalai is one of Ayenar's two wives. No children mentioned.,couple,mythological,F20_ayenar_pudkalai
Isvara,Isvara,,ziegenbalg_south_indian::isvara,,1,Virabhadra,0,,0,ziegenbalg_south_indian,Part III Ch.V; pp.146-151,Virabhadra was created from Isvara's mouth/wrath to destroy Daksha's sacrifice. Described with 1000 heads and 2000 arms. No mother — produced by divine will alone. Bhadrakali (Rudrakali) accompanied him as emanation of Devi's anger.,couple,mythological,F21_isvara_virabhadra
Devendra (Indra) & Indrani,Devendra (Indra),Indrani,ziegenbalg_south_indian::devendra_indra,ziegenbalg_south_indian::indrani,1,Chitraputra,0,,0,ziegenbalg_south_indian,Part IV Ch.I; Table p.7; pp.178-180,"Devendra (Indra) is king of the Devas. Indrani never gave birth herself; Chitraputra (Chitragupta) was born from Indrani's cow as reward for her austerities, but she nursed him. Chitraputra is the recorder deity. Indra's daughter Devayanai married Subhramanya.",couple,mythological,F22_indra_indrani
Devendra (Indra),Devendra (Indra),,ziegenbalg_south_indian::devendra_indra,,0,,1,Devayanai,0,ziegenbalg_south_indian,Part II Ch.IV; p.63,"Devayanai (Devasena) is described as Indra's martial daughter, promised to Subhramanya. Mother not specified in this text.",couple,mythological,F23_indra_devayanai
Kasyapa & Aditi,Kasyapa,Aditi,ziegenbalg_south_indian::kasyapa,ziegenbalg_south_indian::aditi,1,Devendra (Indra),0,,0,ziegenbalg_south_indian,"Part IV Ch.I,IV; p.155,179,186",Kasyapa is a famous Rishi. Aditi is the mother of the Devas. The present Devendra (Indra) is described as son of Kasyapa. Text says the Devas descended from Kasyapa and Aditi.,couple,mythological,F24_kasyapa_aditi
Kasyapa & Diti,Kasyapa,Diti,ziegenbalg_south_indian::kasyapa,ziegenbalg_south_indian::diti,0,,0,,0,ziegenbalg_south_indian,Part III Ch.VI; p.155,"Diti is the mother of the Asuras (Daityas/Danavas), the enemies of the Devas. No individual Asura children named as issue of this specific couple in this text. The Vishnu Purana version (cited p.155) says Asuras issued from Brahma's thigh instead.",couple,mythological,F25_kasyapa_diti
Kasyapa & Mahamaya,Kasyapa,Mahamaya,ziegenbalg_south_indian::kasyapa,ziegenbalg_south_indian::mahamaya,3,"Surapadma, Sinhamukhasura, Tarakasura",0,,0,ziegenbalg_south_indian,Part III Ch.VI; p.155,"According to one account in the text, Mahamaya (great illusion) was a giantess created by Isvara's curse. Her union with Kasyapa produced the great Asuras: Surapadma (the tyrant destroyed by Subhramanya), Sinhamukhasura (lion-faced giant), and Tarakasura (elephant-headed giant).",couple,mythological,F26_kasyapa_mahamaya
Daksha,Daksha,,ziegenbalg_south_indian::daksha,,0,,3,"Sati, Aditi, Diti",0,ziegenbalg_south_indian,"Part II Ch.II; Part III Ch.V; pp.47,55,146-151,155","Daksha is one of the Prajapatis (progenitors). Had many daughters. Text mentions Sati (Siva's first wife), and says Aditi and Diti are also his daughters given to Kasyapa. He gave 27 daughters to the Moon. His sacrifice was destroyed by Virabhadra. Mother of daughters not named.",couple,mythological,F27_daksha
Chandra (Moon) & Rohini (and 26 others),Chandra (Moon),Rohini (and 26 others),ziegenbalg_south_indian::chandra_moon,ziegenbalg_south_indian::rohini,0,,0,,0,ziegenbalg_south_indian,Part II Ch.I; p.47,"Daksha gave 27 daughters (lunar asterisms) to the Moon. Moon loved Rohini above the rest, was cursed by Daksha with consumption (waxing and waning). No children named.",couple,mythological,F28_moon_rohini
Pururvasas & Urvasi,Pururvasas,Urvasi,ziegenbalg_south_indian::pururvasas,ziegenbalg_south_indian::urvasi,1,Ayus,0,,0,ziegenbalg_south_indian,Part IV Ch.III; pp.189-190,"Pururvasas was a mortal king. Urvasi was the most celebrated celestial courtesan of Svarga. Text names Ayus as the first-born, and says five sons total were born from annual meetings, but only Ayus is named.",couple,mythological,F29_pururvasas_urvasi
Budha (son of Soma) & Tara (wife of Vrihaspati),Budha (son of Soma),Tara (wife of Vrihaspati),ziegenbalg_south_indian::budha,ziegenbalg_south_indian::tara,1,Pururvasas,0,,0,ziegenbalg_south_indian,Part IV Ch.III; p.189,"Mentioned in the parentage of Pururvasas: he was son of Budha, who was son of Soma (Moon) by Tara (wife of Vrihaspati/Jupiter). Brief genealogical note in the Urvasi legend.",couple,mythological,F30_budha_tara
Ravana,Ravana,,ziegenbalg_south_indian::ravana,,1,Indrajit,0,,0,ziegenbalg_south_indian,"Part III Ch.VI; Table p.7; pp.77,154",Ravana was the Rakshasa king of Lanka (Ceylon) with ten heads. Indrajit is his son and conqueror of Indra. Brothers: Kumbhakarna and Vibhishana. Wife not named in this text.,couple,mythological,F31_ravana
Santanu & Ganga (human form),Santanu,Ganga (human form),ziegenbalg_south_indian::santanu,ziegenbalg_south_indian::ganga_human,1,Bhishma,0,,0,ziegenbalg_south_indian,Part II Ch.II; p.58,"Brief Mahabharata episode mentioned in a note: Ganga assumed human form, married king Santanu, had 8 children. She threw 7 into the Ganges. The 8th, Bhishma, survived. Seven unnamed drowned sons not counted here as they did not survive.",couple,mythological,F32_santanu_ganga
Harischandra & Satyavati,Harischandra,Satyavati,ziegenbalg_south_indian::harischandra,ziegenbalg_south_indian::satyavati,1,Rohita,0,,0,ziegenbalg_south_indian,"Part IV Ch.II; Appendix Ch.II; pp.184-185,202-203",Harischandra was a famous king of great uprightness. His son Rohita was promised as a sacrifice to Varuna but escaped. The Sunahsepha legend is connected to this family.,couple,mythological,F33_harischandra
Ajigarta,Ajigarta,,ziegenbalg_south_indian::ajigarta,,3,"Sunahpuchha, Sunahsepha, Sunolangibla",0,,0,ziegenbalg_south_indian,Appendix Part IV Ch.II; pp.204-205,Ajigarta was a starving Rishi who sold his middle son Sunahsepha to be a sacrifice victim. He was even willing to kill him himself. Sunahsepha was saved by divine intervention and adopted by Visvamitra. Mother present but unnamed.,couple,mythological,F34_ajigarta
Dharma (Yudhishthira) and four brothers & Draupadi,Dharma (Yudhishthira) and four brothers,Draupadi,ziegenbalg_south_indian::pandavas,ziegenbalg_south_indian::draupadi,0,,0,,0,ziegenbalg_south_indian,Part II Ch.V; pp.78-79,"The five Pandavas (Dharma/Yudhishthira, Bhima, Arjuna, Nakula, Sahadeva) shared one wife Draupadi. No children of this union named in this text. Polyandrous marriage. The text focuses on their war with Duryodhana.",couple,mythological,F35_pandavas_draupadi
Pradyumna (incarnation of Manmatha) & Mayavati (incarnation of Rati),Pradyumna (incarnation of Manmatha),Mayavati (incarnation of Rati),ziegenbalg_south_indian::pradyumna,ziegenbalg_south_indian::mayavati,1,Aniruddha,0,,0,ziegenbalg_south_indian,Part II Ch.VII; p.93,"Brief mention: Manmatha became incarnate in Pradyumna, firstborn of Krishna. Rati became Mayavati. Their son was Aniruddha. Minimal detail in text.",couple,mythological,F36_pradyumna_mayavati
Richika,Richika,,ziegenbalg_south_indian::richika,,1,Jamadagni,0,,0,ziegenbalg_south_indian,Part III Ch.II; p.136,Jamadagni described as 'son of Richika.' Mother not named in this text.,couple,mythological,F37_richika
Kasyapa & Mahamaya (as giantess),Kasyapa,Mahamaya (as giantess),ziegenbalg_south_indian::kasyapa,ziegenbalg_south_indian::mahamaya_giantess,0,,1,Durga,0,ziegenbalg_south_indian,Part III Ch.IV; p.145,"According to one story in the text, Durga was born with a sheep's head because her parents Kasyapa and Mahamaya cohabited in the form of sheep. This may be the same Mahamaya as in F26 or a different tradition.",couple,mythological,F38_kasyapa_durga
